"AlarmName","ErrorCode","SrNo","Device","AlarmDescription","Message","Severity","AckRequired","PlcTag","Shortcut","PlcReference","TriggerTag","MappingStatus"
"ALM_E214","E214","67","Plate Pusher Servo 02","Drive Not Ready","E214 Plate Pusher Servo 02 Drive Not Ready","500","true","FB_Servo05","Offline","[Offline]FB_Servo05","FB_Servo05.Alarm.E214","Mapped"
"ALM_E215","E215","68","Plate Pusher Servo 02","Drive  Faulted","E215 Plate Pusher Servo 02 Drive  Faulted","500","true","FB_Servo05","Offline","[Offline]FB_Servo05","FB_Servo05.Alarm.E215","Mapped"
"ALM_E216","E216","69","Plate Guide Servo 02","MPCB Tripped","E216 Plate Guide Servo 02 MPCB Tripped","500","true","FB_Servo06","Offline","[Offline]FB_Servo06","FB_Servo06.Alarm.E216","Mapped"
"ALM_E217","E217","70","Plate Guide Servo 02","Drive Not Ready","E217 Plate Guide Servo 02 Drive Not Ready","500","true","FB_Servo06","Offline","[Offline]FB_Servo06","FB_Servo06.Alarm.E217","Mapped"
"ALM_E218","E218","71","Plate Guide Servo 02","Drive  Faulted","E218 Plate Guide Servo 02 Drive  Faulted","500","true","FB_Servo06","Offline","[Offline]FB_Servo06","FB_Servo06.Alarm.E218","Mapped"
"ALM_E219","E219","72","Printer Assembly Servo Slide","MPCB Tripped","E219 Printer Assembly Servo Slide MPCB Tripped","500","true","FB_Servo07","Offline","[Offline]FB_Servo07","FB_Servo07.Alarm.E219","Mapped"
"ALM_E220","E220","73","Printer Assembly Servo Slide","Drive Not Ready","E220 Printer Assembly Servo Slide Drive Not Ready","500","true","FB_Servo07","Offline","[Offline]FB_Servo07","FB_Servo07.Alarm.E220","Mapped"
"ALM_E221","E221","74","Printer Assembly Servo Slide","Drive  Faulted","E221 Printer Assembly Servo Slide Drive  Faulted","500","true","FB_Servo07","Offline","[Offline]FB_Servo07","FB_Servo07.Alarm.E221","Mapped"
"ALM_E222","E222","75","Tray Insertion Servo Slide","MPCB Tripped","E222 Tray Insertion Servo Slide MPCB Tripped","500","true","FB_Servo08","Offline","[Offline]FB_Servo08","FB_Servo08.Alarm.E222","Mapped"
"ALM_E223","E223","76","Tray Insertion Servo Slide","Drive Not Ready","E223 Tray Insertion Servo Slide Drive Not Ready","500","true","FB_Servo08","Offline","[Offline]FB_Servo08","FB_Servo08.Alarm.E223","Mapped"
