"AlarmName","ErrorCode","Message","Severity","AckRequired","Trigger","Device"
"ALM_E229","E229","E229 Tray Stacker Servo 02 Drive Not Ready","500","true","FB_Servo10.Alarm.E229","Tray Stacker Servo 02"
"ALM_E230","E230","E230 Tray Stacker Servo 02 Drive  Faulted","500","true","FB_Servo10.Alarm.E230","Tray Stacker Servo 02"
"ALM_E231","E231","E231 Plate Feeding Conveyor MPCB Tripped","500","true","FB_Drive01.Alarm.E231","Plate Feeding Conveyor"
"ALM_E232","E232","E232 Plate Feeding Conveyor Drive Not Ready","500","true","FB_Drive01.Alarm.E232","Plate Feeding Conveyor"
"ALM_E233","E233","E233 Plate Feeding Conveyor Drive  Faulted","500","true","FB_Drive01.Alarm.E233","Plate Feeding Conveyor"
"ALM_E234","E234","E234 Tray Feeding Conveyor MPCB Tripped","500","true","FB_Drive02.Alarm.E234","Tray Feeding Conveyor"
"ALM_E235","E235","E235 Tray Feeding Conveyor Drive Not Ready","500","true","FB_Drive02.Alarm.E235","Tray Feeding Conveyor"
"ALM_E236","E236","E236 Tray Feeding Conveyor Drive  Faulted","500","true","FB_Drive02.Alarm.E236","Tray Feeding Conveyor"
"ALM_E237","E237","E237 Sealing Conveyor MPCB Tripped","500","true","FB_Drive03.Alarm.E237","Sealing Conveyor"
"ALM_E238","E238","E238 Sealing Conveyor Drive Not Ready","500","true","FB_Drive03.Alarm.E238","Sealing Conveyor"
"ALM_E239","E239","E239 Sealing Conveyor Drive  Faulted","500","true","FB_Drive03.Alarm.E239","Sealing Conveyor"
"ALM_E240","E240","E240 Bowl Feeder Bowl Motor 01 MPCB Tripped","500","true","","Bowl Feeder Bowl Motor 01"
"ALM_E241","E241","E241 Bowl Feeder Linear Motor 01 MPCB Tripped","500","true","","Bowl Feeder Linear Motor 01"
"ALM_E242","E242","E242 Bowl Feeder Bowl Motor 02 MPCB Tripped","500","true","","Bowl Feeder Bowl Motor 02"
"ALM_E243","E243","E243 Bowl Feeder Linear Motor 02 MPCB Tripped","500","true","","Bowl Feeder Linear Motor 02"
"ALM_E244","E244","E244 Vacuum Pump MPCB Tripped","500","true","FB_DOL03.Alarm.E244","Vacuum Pump"
"ALM_E245","E245","E245 Bag Sealer Vacuum Pump MPCB Tripped","500","true","FB_DOL04.Alarm.E245","Bag Sealer Vacuum Pump"
"ALM_E246","E246","E246 Plate Infeed Conveyor Diverter Both Reedswitch Present","500","true","FB_PV01.Alarm.E246","Plate Infeed Conveyor Diverter"
"ALM_E247","E247","E247 Plate Infeed Conveyor Diverter Both Reedswitch Absent","500","true","FB_PV01.Alarm.E247","Plate Infeed Conveyor Diverter"
"ALM_E248","E248","E248 Plate Infeed Conveyor Diverter Position 01 Reedswitch Absent","500","true","FB_PV01.Alarm.E248","Plate Infeed Conveyor Diverter"
"ALM_E249","E249","E249 Plate Infeed Conveyor Diverter Position 02 Reedswitch Absent","500","true","FB_PV01.Alarm.E249","Plate Infeed Conveyor Diverter"
"ALM_E250","E250","E250 Linear Feeder 01 Exit Stopper Both Reedswitch Present","500","true","FB_PV02.Alarm.E250","Linear Feeder 01 Exit Stopper"
"ALM_E251","E251","E251 Linear Feeder 01 Exit Stopper Both Reedswitch Absent","500","true","FB_PV02.Alarm.E251","Linear Feeder 01 Exit Stopper"
"ALM_E252","E252","E252 Linear Feeder 01 Exit Stopper Open Reedswitch Absent","500","true","FB_PV02.Alarm.E252","Linear Feeder 01 Exit Stopper"
"ALM_E253","E253","E253 Linear Feeder 01 Exit Stopper Close Reedswitch Absent","500","true","FB_PV02.Alarm.E253","Linear Feeder 01 Exit Stopper"
"ALM_E254","E254","E254 Linear Feeder 02 Exit Stopper Both Reedswitch Present","500","true","FB_PV03.Alarm.E254","Linear Feeder 02 Exit Stopper"
"ALM_E255","E255","E255 Linear Feeder 02 Exit Stopper Both Reedswitch Absent","500","true","FB_PV03.Alarm.E255","Linear Feeder 02 Exit Stopper"
"ALM_E256","E256","E256 Linear Feeder 02 Exit Stopper Open Reedswitch Absent","500","true","FB_PV03.Alarm.E256","Linear Feeder 02 Exit Stopper"
"ALM_E257","E257","E257 Linear Feeder 02 Exit Stopper Close Reedswitch Absent","500","true","FB_PV03.Alarm.E257","Linear Feeder 02 Exit Stopper"
"ALM_E258","E258","E258 Plate Handling ROBOT 01 Gripper Both Reedswitch Present","500","true","FB_PV04.Alarm.E258","Plate Handling ROBOT 01 Gripper"
"ALM_E259","E259","E259 Plate Handling ROBOT 01 Gripper Both Reedswitch Absent","500","true","FB_PV04.Alarm.E259","Plate Handling ROBOT 01 Gripper"
"ALM_E260","E260","E260 Plate Handling ROBOT 01 Gripper Forward Reedswitch Absent","500","true","FB_PV04.Alarm.E260","Plate Handling ROBOT 01 Gripper"
"ALM_E261","E261","E261 Plate Handling ROBOT 01 Gripper Reverse Reedswitch Absent","500","true","FB_PV04.Alarm.E261","Plate Handling ROBOT 01 Gripper"
"ALM_E262","E262","E262 Tray 01 Side Guide Both Reedswitch Present","500","true","FB_PV05.Alarm.E262","Tray 01 Side Guide"
"ALM_E263","E263","E263 Tray 01 Side Guide Both Reedswitch Absent","500","true","FB_PV05.Alarm.E263","Tray 01 Side Guide"
"ALM_E264","E264","E264 Tray 01 Side Guide Forward Reedswitch Absent","500","true","FB_PV05.Alarm.E264","Tray 01 Side Guide"
"ALM_E265","E265","E265 Tray 01 Side Guide Reverse Reedswitch Absent","500","true","FB_PV05.Alarm.E265","Tray 01 Side Guide"
"ALM_E266","E266","E266 Tray 01 Front Guide Both Reedswitch Present","500","true","FB_PV06.Alarm.E266","Tray 01 Front Guide"
"ALM_E267","E267","E267 Tray 01 Front Guide Both Reedswitch Absent","500","true","FB_PV06.Alarm.E267","Tray 01 Front Guide"
"ALM_E268","E268","E268 Tray 01 Front Guide Up Reedswitch Absent","500","true","FB_PV06.Alarm.E268","Tray 01 Front Guide"
"ALM_E269","E269","E269 Tray 01 Front Guide Down Reedswitch Absent","500","true","FB_PV06.Alarm.E269","Tray 01 Front Guide"
"ALM_E270","E270","E270 Tray 01 Stopper 01 Both Reedswitch Present","500","true","","Tray 01 Stopper 01"
"ALM_E271","E271","E271 Tray 01 Stopper 01 Both Reedswitch Absent","500","true","","Tray 01 Stopper 01"
"ALM_E272","E272","E272 Tray 01 Stopper 01 Up Reedswitch Absent","500","true","","Tray 01 Stopper 01"
"ALM_E273","E273","E273 Tray 01 Stopper 01 Down Reedswitch Absent","500","true","","Tray 01 Stopper 01"
"ALM_E274","E274","E274 Tray 01 Stopper 02 Both Reedswitch Present","500","true","","Tray 01 Stopper 02"
"ALM_E275","E275","E275 Tray 01 Stopper 02 Both Reedswitch Absent","500","true","","Tray 01 Stopper 02"
"ALM_E276","E276","E276 Tray 01 Stopper 02 Up Reedswitch Absent","500","true","","Tray 01 Stopper 02"
