;Tag Type, Tag Name, Tag Description, Read Only, Data Source, Security Code, Alarmed, Native Type, Value Type, Min Analog, Max Analog, Initial Analog, Scale, Offset, DeadBand, Units, Off Label Digital, On Label Digital, Initial Digital, Length String, Initial String, Retentive, Address, System Source Name, System Source Index, RIO Address, Element Size Block, Number Elements Block, Initial Block
;###002 - THIS LINE CONTAINS VERSION INFORMATION. DO NOT REMOVE!!!

;Folders Section (Must define folders before tags)
"S","PLC_DI_Discr\List_02","PLC Input List 02","F","M","*","F",,,,,,,,,,,,,82,"PLC Input List 02",0,
"S","PLC_DI_Discr\List_03","PLC Input List 03","F","M","*","F",,,,,,,,,,,,,82,"PLC Input List 03",0,
"S","PLC_DI_Discr\List_04","PLC Input List 04","F","M","*","F",,,,,,,,,,,,,82,"PLC Input List 04",0,
"S","PLC_DI_Discr\List_05","PLC Input List 05","F","M","*","F",,,,,,,,,,,,,82,"PLC Input List 05",0,
"S","PLC_DI_Discr\List_06","PLC Input List 06","F","M","*","F",,,,,,,,,,,,,82,"PLC Input List 06",0,
"S","PLC_DI_Discr\List_07","PLC Input List 07","F","M","*","F",,,,,,,,,,,,,82,"PLC Input List 07",0,
"S","PLC_DI_NO\Data_00","Z1:3:I.0","F","M","*","F",,,,,,,,,,,,,82,"Z1:3:I.0",0,
"S","PLC_DI_NO\Data_01","Z1:3:I.1","F","M","*","F",,,,,,,,,,,,,82,"Z1:3:I.1",0,
"S","PLC_DI_NO\Data_02","Z1:3:I.2","F","M","*","F",,,,,,,,,,,,,82,"Z1:3:I.2",0,
"S","PLC_DI_NO\Data_03","Z1:3:I.3","F","M","*","F",,,,,,,,,,,,,82,"Z1:3:I.3",0,
"S","PLC_DI_NO\Data_04","Z1:3:I.4","F","M","*","F",,,,,,,,,,,,,82,"Z1:3:I.4",0,
"S","PLC_DI_NO\Data_05","Z1:3:I.5","F","M","*","F",,,,,,,,,,,,,82,"Z1:3:I.5",0,
"S","PLC_DI_NO\Data_06","Z1:3:I.6","F","M","*","F",,,,,,,,,,,,,82,"Z1:3:I.6",0,
"S","PLC_DI_NO\Data_07","Z1:3:I.7","F","M","*","F",,,,,,,,,,,,,82,"Z1:3:I.7",0,
"S","PLC_DI_NO\Data_08","Z1:4:I.0","F","M","*","F",,,,,,,,,,,,,82,"Z1:4:I.0",0,
"S","PLC_DI_NO\Data_09","Z1:4:I.1","F","M","*","F",,,,,,,,,,,,,82,"Z1:4:I.1",0,
"S","PLC_DI_NO\Data_10","Z1:4:I.2","F","M","*","F",,,,,,,,,,,,,82,"Z1:4:I.2",0,
"S","PLC_DI_NO\Data_11","Z1:4:I.3","F","M","*","F",,,,,,,,,,,,,82,"Z1:4:I.3",0,
"S","PLC_DI_NO\Data_12","Z1:4:I.4","F","M","*","F",,,,,,,,,,,,,82,"Z1:4:I.4",0,
"S","PLC_DI_NO\Data_13","Z1:4:I.5","F","M","*","F",,,,,,,,,,,,,82,"Z1:4:I.5",0,
"S","PLC_DI_NO\Data_14","Z1:4:I.6","F","M","*","F",,,,,,,,,,,,,82,"Z1:4:I.6",0,
"S","PLC_DI_NO\Data_15","Z1:4:I.7","F","M","*","F",,,,,,,,,,,,,82,"Z1:4:I.7",0,
