Tag Name,Type,Description
"AI04_Dryer_Heat_Zone2_Temp_Scaled_Value","float","AI04_Dryer_Heat_Zone2_Temp_Scaled_Value"
"AI04_Dryer_Heat_Zone2_Temp_With_In_Range","bool","AI04_Dryer_Heat_Zone2_Temp_With_In_Range"
"AI04_Dust_Collector_PT_Low_SP","float","AI04_Dust_Collector_PT_Low_SP"
"AI04_Dust_Collector_PT_Scaled_Value","float","AI04_Dust_Collector_PT_Scaled_Value"
"AI05_Dryer_Heat_Zone_3_Temp_High_Fault","bool","AI05_Dryer_Heat_Zone_3_Temp_High_Fault"
"AI05_Dryer_Heat_Zone_3_Temp_Low_Fault","bool","AI05_Dryer_Heat_Zone_3_Temp_Low_Fault"
"AI05_Dryer_Heat_Zone_3_Temp_Scaled_Value","float","AI05_Dryer_Heat_Zone_3_Temp_Scaled_Value"
"AI05_Dryer_Heat_Zone_3_Temp_WithIn_Range","bool","AI05_Dryer_Heat_Zone_3_Temp_WithIn_Range"
"AI06_Cooling_Air_Inlet_Temp_Scaled_Value","float","AI06_Cooling_Air_Inlet_Temp_Scaled_Value"
"AI07_Cool_Air_Outlet_Temp_Scaled_Value","float","AI07_Cool_Air_Outlet_Temp_Scaled_Value"
"AI08_Dryer_Cool_Zone_Temp_Scaled_Value","float","AI08_Dryer_Cool_Zone_Temp_Scaled_Value"
"AI09_Dryer_Heat_Zn_UP_DC_PT_Scaled_Value","float","AI09_Dryer_Heat_Zn_UP_DC_PT_Scaled_Value"
"AI10_Dryer_Cool_Zn_UP_DC_PT_Scaled_Value","float","AI10_Dryer_Cool_Zn_UP_DC_PT_Scaled_Value"
"AI13_Dryer_Heat_Zn_Inlet_FT_Scaled_Value","float","AI13_Dryer_Heat_Zn_Inlet_FT_Scaled_Value"
"Always_False","bool","Always_False"
"Always_True","bool","Always_True"
"Auto_Chopper01_Pu_Roller_Down_Bypass","bool","Auto_Chopper01_Pu_Roller_Down_Bypass"
"Auto_Chopper02_Pu_Roller_Down_Bypass","bool","Auto_Chopper02_Pu_Roller_Down_Bypass"
"Auto_Chopper_Cycle_Stopped","bool","Auto_Chopper_Cycle_Stopped"
"Auto_Stitching_Motor_Start_Cmd","bool","Auto_Stitching_Motor_Start_Cmd"
"Auto_Stitching_Thread_Cut_Start_Cmd","bool","Auto_Stitching_Thread_Cut_Start_Cmd"
"Bag_Production_Count_Reset","bool","Bag_Production_Count_Reset"
"Bag_Rejection_Set","bool","Bag_Rejection_Set"
"Bag_Stitching_Motor_Bypass","bool","Bag_Stitching_Motor_Bypass"
"Bag_Tare_Weight","float","Bag_Tare_Weight"
"BurnerLowFlame","bool","BurnerLowFlame"
"BurnerONFromBurner","bool","BurnerONFromBurner"
"Burner_Analog_Input","float","Burner_Analog_Input"
"BURNER_ENABLE","bool","BURNER_ENABLE"
"Burner_Fault_FB","bool","Burner_Fault_FB"
"Burner_High_Flam_Signal","int","Burner_High_Flam_Signal"
"Burner_Low_Flam_Signal","int","Burner_Low_Flam_Signal"
"Burner_test_Mode","bool","Burner_test_Mode"
"Bypass_Trial","bool","Bypass_Trial"
"Chopper01_PU_Cylinder_Fwd_FB_Absent","bool","Chopper01_PU_Cylinder_Fwd_FB_Absent"
"Chopper02_PU_Cylinder_Fwd_FB_Absent","bool","Chopper02_PU_Cylinder_Fwd_FB_Absent"
"Chopper1_Pu_Cylinder_Fwd_Set","bool","Chopper1_Pu_Cylinder_Fwd_Set"
"Chopper1_Pu_Cylinder_Rev_Set","bool","Chopper1_Pu_Cylinder_Rev_Set"
"Chopper2_Pu_Cylinder_Fwd_Set","bool","Chopper2_Pu_Cylinder_Fwd_Set"
"Chopper2_Pu_Cylinder_Rev_Set","bool","Chopper2_Pu_Cylinder_Rev_Set"
"CHopper_1_Chopping_Cycle_Selction","bool","CHopper_1_Chopping_Cycle_Selction"
"Chopper_1_Chopping_Cycle_Start","bool","Chopper_1_Chopping_Cycle_Start"
"Chopper_2_Chopping_Cycle_Selction","bool","Chopper_2_Chopping_Cycle_Selction"
"Chopper_2_Chopping_Cycle_Start","bool","Chopper_2_Chopping_Cycle_Start"
"Chopper_Cooling_Zn_Temp_High_SP","float","Chopper_Cooling_Zn_Temp_High_SP"
"Chopper_Cooling_Zn_Temp_High_Tol_SP","float","Chopper_Cooling_Zn_Temp_High_Tol_SP"
"Chopper_Cooling_Zn_Temp_Low_SP","float","Chopper_Cooling_Zn_Temp_Low_SP"
"Chopper_Cooling_Zn_Temp_Low_Tol_SP","float","Chopper_Cooling_Zn_Temp_Low_Tol_SP"
"Chopper_Door_Switch_1_DoorOpenCoilOn","bool","Chopper_Door_Switch_1_DoorOpenCoilOn"
"Chopper_Door_Switch_2_DoorOpenCoilOn","bool","Chopper_Door_Switch_2_DoorOpenCoilOn"
"Chopper_Heating_Zn_Temp_High_SP","float","Chopper_Heating_Zn_Temp_High_SP"
"Chopper_Heating_Zn_Temp_High_Tol_SP","float","Chopper_Heating_Zn_Temp_High_Tol_SP"
"Chopper_Heating_Zn_Temp_Low_SP","float","Chopper_Heating_Zn_Temp_Low_SP"
"Chopper_Heating_Zn_Temp_Low_Tol_SP","float","Chopper_Heating_Zn_Temp_Low_Tol_SP"
"Coarse_Fill_Running","bool","Coarse_Fill_Running"
"Coarse_Vibro_Bypass","bool","Coarse_Vibro_Bypass"
"control_valve_output","float","control_valve_output"
"CoolingZone_Temp_High_Limit","int","CoolingZone_Temp_High_Limit"
"CoolingZone_Temp_Low_Limit","float","CoolingZone_Temp_Low_Limit"
"Cooling_Air_Inlet_Temp_High_SP","float","Cooling_Air_Inlet_Temp_High_SP"
"Cooling_Air_Inlet_Temp_Low_SP","float","Cooling_Air_Inlet_Temp_Low_SP"
"Cooling_Air_Inlet_Temp_temp_High_fault","bool","Cooling_Air_Inlet_Temp_temp_High_fault"
"Cooling_Air_Inlet_Temp_temp_low_fault","bool","Cooling_Air_Inlet_Temp_temp_low_fault"
"Cooling_Air_Inlet_Temp_With_In_Range","bool","Cooling_Air_Inlet_Temp_With_In_Range"
"Cooling_Air_OutIet_Temp_Low_SP","float","Cooling_Air_OutIet_Temp_Low_SP"
"Cooling_Air_Outlet_Temp_High_SP","float","Cooling_Air_Outlet_Temp_High_SP"
"Cooling_Air_outlet_Temp_temp_High_fault","bool","Cooling_Air_outlet_Temp_temp_High_fault"
"Cooling_Air_outlet_Temp_temp_low_fault","bool","Cooling_Air_outlet_Temp_temp_low_fault"
"Cooling_Air_Outlet_Temp_With_In_Range","bool","Cooling_Air_Outlet_Temp_With_In_Range"
"Cooling_Zn_Chopper_Ready","bool","Cooling_Zn_Chopper_Ready"
"Cooling_Zone_DC_PT_Diff_with_In_Range","bool","Cooling_Zone_DC_PT_Diff_with_In_Range"
"Cooling_Zone_Temp_Scaled_PV","float","Cooling_Zone_Temp_Scaled_PV"
"Cooling_Zone_Temp_Within_Range","bool","Cooling_Zone_Temp_Within_Range"
"Coolong_Zone_DC_PT_Difference","float","Coolong_Zone_DC_PT_Difference"
"Coolong_Zone_DC_PT_Difference_High_SP","float","Coolong_Zone_DC_PT_Difference_High_SP"
"Coolong_Zone_DC_PT_Difference_low_SP","float","Coolong_Zone_DC_PT_Difference_low_SP"
"CVF_Auto_Speed_Coarse_Mode","float","CVF_Auto_Speed_Coarse_Mode"
"CVF_Auto_Speed_Fine_Mode","float","CVF_Auto_Speed_Fine_Mode"
"DCDC_Run_RuFB_Absent","bool","DCDC_Run_RuFB_Absent"
"DHDC_RPM","int","DHDC_RPM"
"DHDC_Run_RuFB_Absent","bool","DHDC_Run_RuFB_Absent"
"DHIC_Run_RuFB_Absent","bool","DHIC_Run_RuFB_Absent"
"DI41_ONS","bool","DI41_ONS"
"DI41_Pulse","bool","DI41_Pulse"
"DI41_RPM","int","DI41_RPM"
"DLR01_Path","string","DLR01_Path"
"Dryer_Cooling_Zone_DC_Level_High","bool","Dryer_Cooling_Zone_DC_Level_High"
"Dryer_Cooling_Zone_Temp_High_SP","float","Dryer_Cooling_Zone_Temp_High_SP"
"Dryer_Cooling_Zone_Temp_Low_SP","float","Dryer_Cooling_Zone_Temp_Low_SP"
"Dryer_Cool_Zone_DC_PT_High_SP","float","Dryer_Cool_Zone_DC_PT_High_SP"
"Dryer_Cool_Zone_DC_PT_Low_SP","float","Dryer_Cool_Zone_DC_PT_Low_SP"
"Dryer_Cool_Zone_DC_PT_Within_Range","bool","Dryer_Cool_Zone_DC_PT_Within_Range"
"Dryer_Cool_Zone_DN_DC_PT_High_SP","float","Dryer_Cool_Zone_DN_DC_PT_High_SP"
"Dryer_Cool_Zone_DN_DC_PT_Low_SP","float","Dryer_Cool_Zone_DN_DC_PT_Low_SP"
"Dryer_Cool_Zone_Temp_High_Fault","bool","Dryer_Cool_Zone_Temp_High_Fault"
